date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-12-29,255.1,255.19,247.43,248.48,248.48,100891578,100891578,-6.62,-2.6,251.55,"December 29, 23",-0.026
2023-12-28,263.66,265.13,252.71,253.18,253.18,113619943,113619943,-10.48,-3.97,258.67,"December 28, 23",-0.0397
2023-12-27,258.35,263.34,257.52,261.44,261.44,106494359,106494359,3.09,1.2,260.1625,"December 27, 23",0.012
2023-12-26,254.49,257.97,252.91,256.61,256.61,86892382,86892382,2.12,0.83304,255.495,"December 26, 23",0.0083304
2023-12-22,256.76,258.22,251.37,252.54,252.54,93370094,93370094,-4.22,-1.64,254.7225,"December 22, 23",-0.0164
2023-12-21,251.9,254.8,248.55,254.5,254.5,109594227,109594227,2.6,1.03,252.4375,"December 21, 23",0.0103
2023-12-20,256.41,259.84,247.0,247.14,247.14,125096987,125096987,-9.27,-3.62,252.5975,"December 20, 23",-0.0362
2023-12-19,253.48,258.34,253.01,257.22,257.22,106737369,106737369,3.74,1.48,255.5125,"December 19, 23",0.0148
2023-12-18,253.78,258.74,251.36,252.08,252.08,116416490,116416490,-1.7,-0.66987,253.99,"December 18, 23",-0.0066987
2023-12-15,251.21,254.13,248.3,253.5,253.5,135932762,135932762,2.29,0.91159,251.785,"December 15, 23",0.0091159
2023-12-14,241.22,253.88,240.79,251.05,251.05,160829239,160829239,9.83,4.08,246.735,"December 14, 23",0.0408
2023-12-13,234.19,240.3,228.2,239.29,239.29,146286348,146286348,5.1,2.18,235.495,"December 13, 23",0.0218
2023-12-12,238.55,238.99,233.87,237.01,237.01,95328313,95328313,-1.54,-0.64557,237.105,"December 12, 23",-0.0064557
2023-12-11,242.74,243.44,237.45,239.74,239.74,97913888,97913888,-3.0,-1.24,240.8425,"December 11, 23",-0.0124
2023-12-08,240.27,245.27,239.27,243.84,243.84,103126829,103126829,3.57,1.49,242.1625,"December 08, 23",0.0149
2023-12-07,241.55,244.08,236.98,242.64,242.64,107142262,107142262,1.09,0.45125,241.3125,"December 07, 23",0.0045125
2023-12-06,242.92,246.57,239.17,239.37,239.37,126436179,126436179,-3.55,-1.46,242.0075,"December 06, 23",-0.0146
2023-12-05,233.87,246.66,233.7,238.72,238.72,137971115,137971115,4.85,2.07,238.2375,"December 05, 23",0.0207
2023-12-04,235.75,239.37,233.29,235.58,235.58,104099817,104099817,-0.17,-0.07211029,235.9975,"December 04, 23",-0.0007211029
2023-12-01,233.14,240.19,231.9,238.83,238.83,121303661,121173500,5.69,2.44,236.48,"December 01, 23",0.0244
2023-11-30,245.14,245.22,236.91,240.08,240.08,132353076,132353200,-5.06,-2.06,240.69,"November 30, 23",-0.0206
2023-11-29,249.21,252.75,242.76,244.14,244.14,135380335,135401300,-5.07,-2.03,248.05,"November 29, 23",-0.0203
2023-11-28,236.68,247.0,234.01,246.72,246.72,148549913,148549900,10.04,4.24,241.13,"November 28, 23",0.0424
2023-11-27,236.89,238.33,232.1,236.08,236.08,112031163,112031800,-0.81,-0.34193,235.62,"November 27, 23",-0.0034193
2023-11-24,233.75,238.75,232.33,235.45,235.45,65125203,65125200,1.7,0.72727,236.4,"November 24, 23",0.0072727
2023-11-22,242.04,244.01,231.4,234.21,234.21,118117078,117950600,-7.83,-3.24,234.73,"November 22, 23",-0.0324
2023-11-21,235.04,243.62,233.34,241.2,241.2,122248300,122288000,6.16,2.62,240.89,"November 21, 23",0.0262
2023-11-20,234.04,237.1,231.02,235.6,235.6,116562402,116320100,1.56,0.66655,234.23,"November 20, 23",0.0066655
2023-11-17,232.0,237.39,226.54,234.3,234.3,142766234,142532800,2.3,0.99138,233.28,"November 17, 23",0.0099138
2023-11-16,239.49,240.88,230.96,233.59,233.59,136774269,136816800,-5.9,-2.46,235.52,"November 16, 23",-0.0246
2023-11-15,239.29,246.7,236.45,242.84,242.84,150353975,150354000,3.55,1.48,242.71,"November 15, 23",0.0148
2023-11-14,235.03,238.135,230.72,237.41,237.41,149762546,149771600,2.38,1.01,234.66,"November 14, 23",0.0101
2023-11-13,215.6,225.4,211.6101,223.71,223.71,140428469,140447600,8.11,3.76,221.11,"November 13, 23",0.0376
2023-11-10,210.03,215.38,205.69,214.65,214.65,131295153,130994000,4.62,2.2,211.78,"November 10, 23",0.022
2023-11-09,219.75,220.8,206.68,209.98,209.98,142065154,142110500,-9.77,-4.45,211.83,"November 09, 23",-0.0445
2023-11-08,223.15,224.15,217.64,222.11,222.11,106384841,106584800,-1.04,-0.46605,220.31,"November 08, 23",-0.0046605
2023-11-07,219.98,223.12,215.72,222.18,222.18,116897380,116900100,2.2,1.0,219.14,"November 07, 23",0.01
2023-11-06,223.98,226.32,215.0,219.27,219.27,116835820,117335800,-4.71,-2.1,219.59,"November 06, 23",-0.021
2023-11-03,221.15,226.3701,218.4,219.96,219.96,119526048,119281000,-1.19,-0.5381,221.16,"November 03, 23",-0.005381
2023-11-02,212.97,219.2,211.45,218.51,218.51,125959421,125987600,5.54,2.6,216.37,"November 02, 23",0.026
2023-11-01,204.04,205.99,197.85,205.66,205.66,121661656,121661700,1.62,0.79396,201.95,"November 01, 23",0.0079396
2023-10-31,196.12,202.8,194.07,200.84,200.84,118053273,118068300,4.72,2.41,199.04,"October 31, 23",0.0241
2023-10-30,209.28,211.35,191.25,197.36,197.36,136460923,136448200,-11.92,-5.7,200.01,"October 30, 23",-0.057
2023-10-27,210.6,212.41,205.77,207.3,207.3,94717973,94881200,-3.3,-1.57,208.66,"October 27, 23",-0.0157
2023-10-26,211.32,214.8,204.88,205.76,205.76,115095735,115112600,-5.56,-2.63,208.33,"October 26, 23",-0.0263
2023-10-25,215.88,220.1,212.2,212.42,212.42,107049087,107065100,-3.46,-1.6,215.95,"October 25, 23",-0.016
2023-10-24,216.5,222.05,214.11,216.52,216.52,118096713,118231100,0.02,0.00923788,217.63,"October 24, 23",9.23788e-05
2023-10-23,210.0,216.98,202.51,212.08,212.08,150453468,150683400,2.08,0.99048,211.57,"October 23, 23",0.0099048
2023-10-20,217.01,218.8606,210.42,211.99,211.99,137930095,137734000,-5.02,-2.31,214.01,"October 20, 23",-0.0231
2023-10-19,225.95,230.61,216.78,220.11,220.11,170588573,170772700,-5.84,-2.58,221.98,"October 19, 23",-0.0258
2023-10-18,252.7,254.63,242.08,242.68,242.68,125116646,125147800,-10.02,-3.97,246.01,"October 18, 23",-0.0397
2023-10-17,250.1,257.183,247.08,254.85,254.85,93535509,93562900,4.75,1.9,253.22,"October 17, 23",0.019
2023-10-16,250.05,255.3999,248.48,253.92,253.92,88916276,88917200,3.87,1.55,252.91,"October 16, 23",0.0155
2023-10-13,258.9,259.6,250.22,251.12,251.12,102137686,102073800,-7.78,-3.01,254.05,"October 13, 23",-0.0301
2023-10-12,262.92,265.41,256.6307,258.87,258.87,111508114,111508100,-4.05,-1.54,261.72,"October 12, 23",-0.0154
2023-10-11,266.2,268.6,260.9,262.99,262.99,103706266,103706300,-3.21,-1.21,264.07,"October 11, 23",-0.0121
2023-10-10,257.75,268.94,257.65,263.62,263.62,122656030,122656000,5.87,2.28,264.95,"October 10, 23",0.0228
2023-10-09,255.31,261.36,252.05,259.67,259.67,101377947,101377900,4.36,1.71,256.32,"October 09, 23",0.0171
2023-10-06,253.98,261.65,250.65,260.53,260.53,118108312,117947000,6.55,2.58,256.32,"October 06, 23",0.0258
